Age,Gender,Company,Education_level,Asset,Domestic_Stock_Ratio,Foreign_Stock_Ratio,Cash_Ratio
22,M,Toss,University,600000,0.41,0.06,0.53
20,M,Mpop,High School,3700000,0.4,0.29,0.31
23,M,Toss,University,400000,0.71,0.06,0.23
22,M,namuh,Under Middle,3500000,0.08,0.46,0.46
20,M,Mpop,University,2500000,0.63,0.21,0.16
27,F,Mpop,University,4100000,0.53,0.27,0.2
25,M,M-able,Under Middle,6800000,0.21,0.03,0.76
29,M,M-able,University,3100000,0.17,0.66,0.17
20,F,Mpop,High School,1900000,0.11,0.41,0.48
22,M,Toss,High School,3700000,0.24,0.52,0.24
27,M,M-able,High School,2500000,0.21,0.13,0.66
22,M,Toss,High School,800000,0.27,0.08,0.65
29,F,M-able,High School,4200000,0.04,0.42,0.54
22,F,Toss,University,2500000,0.65,0.07,0.28
23,M,namuh,High School,3600000,1,0,0
23,F,Toss,University,300000,0.5,0.06,0.44
22,M,Mpop,University,300000,0.43,0.52,0.05
23,M,Toss,University,400000,0.29,0.19,0.52
24,F,Mpop,University,900000,0.42,0.44,0.14
21,F,M-able,High School,1700000,0.45,0.46,0.09
22,F,M-able,University,2100000,0.17,0.32,0.51
29,F,Mpop,University,9100000,0.9,0.08,0.02
21,M,Toss,University,1100000,0.31,0.14,0.55
24,F,Toss,University,1900000,0.04,0.32,0.64
26,F,Toss,High School,6300000,0.08,0.55,0.37
28,M,M-able,University,1800000,0.51,0.13,0.36
22,M,Mpop,University,1800000,0.46,0.28,0.26
23,M,Mpop,University,3600000,0.68,0.25,0.07
20,M,M-able,University,3200000,0.38,0.55,0.07
20,M,Toss,High School,1100000,0.69,0.25,0.06
26,M,Toss,University,3000000,0.91,0.02,0.07
20,F,Mpop,University,2300000,0.53,0.32,0.15
26,M,Toss,University,4900000,0.01,0.24,0.75
23,M,M-able,University,3400000,0.13,0.34,0.53
23,F,Mpop,University,3800000,0.23,0.33,0.44
28,M,Toss,University,3300000,0.13,0.55,0.32
28,F,Mpop,University,9600000,0.93,0.01,0.06
28,M,M-able,University,4700000,0.4,0.34,0.26
22,F,M-able,University,2900000,0.87,0.02,0.11
23,M,Toss,University,3700000,0.66,0.34,0
22,F,Mpop,University,1600000,0.1,0.19,0.71
20,F,namuh,University,3400000,0.57,0.26,0.17
28,M,Toss,University,5400000,0.99,0.01,0
28,F,M-able,University,5700000,0.63,0.1,0.27
23,F,Mpop,University,2500000,0.91,0.07,0.02
28,M,Mpop,University,3500000,0.85,0,0.15
22,M,M-able,University,300000,0.92,0.01,0.07
28,M,namuh,University,4100000,0.87,0.08,0.05
24,F,Toss,University,2400000,0.43,0.15,0.42
23,F,M-able,University,3000000,0.95,0.04,0.01
20,M,Mpop,University,3000000,0.54,0.26,0.2
24,M,namuh,University,1600000,0.22,0.22,0.56
23,M,M-able,University,600000,0.65,0.03,0.32
26,F,M-able,University,9000000,0.06,0.07,0.87
29,F,Toss,Under Middle,8900000,0.06,0.57,0.37
28,F,M-able,University,2900000,0.36,0.36,0.28
20,F,Mpop,Under Middle,1400000,0.7,0.12,0.18
28,F,Mpop,University,9000000,0.17,0.36,0.47
25,M,Mpop,University,2900000,0.7,0.09,0.21
29,F,M-able,University,1500000,0.79,0.1,0.11
20,M,Toss,University,1100000,0.12,0.6,0.28
29,F,M-able,University,5900000,0.68,0.18,0.14
26,F,Mpop,High School,7700000,0.59,0.06,0.35
25,M,M-able,University,5900000,0.31,0.56,0.13
23,M,Mpop,High School,2500000,0.59,0.35,0.06
21,M,Toss,University,2200000,0.21,0.41,0.38
28,F,Toss,University,2100000,0.91,0.06,0.03
20,M,M-able,University,500000,0.98,0.01,0.01
24,M,Mpop,Under Middle,600000,0.84,0.13,0.03
29,F,namuh,High School,6100000,0.29,0.63,0.08
26,F,Mpop,High School,2800000,0.89,0.01,0.1
25,F,namuh,University,8300000,0.09,0.15,0.76
27,M,M-able,University,6900000,0.23,0.69,0.08
28,F,Mpop,University,8900000,0.55,0.03,0.42
28,F,Toss,University,7400000,0.53,0.38,0.09
29,F,namuh,University,8300000,0.09,0.15,0.76
22,F,Toss,University,3400000,0.69,0.26,0.05
28,F,Mpop,University,2100000,0.1,0.51,0.39
26,F,Mpop,Under Middle,6200000,0.06,0.3,0.64
26,F,Toss,University,6100000,0.95,0.04,0.01
29,M,M-able,University,9300000,0.95,0.02,0.03
21,F,Toss,University,700000,0.86,0,0.14
26,M,Toss,University,2200000,0.36,0.29,0.35
28,M,M-able,University,6600000,0.33,0.57,0.1
28,M,Toss,University,2500000,0.08,0.5,0.42
23,M,Toss,High School,1900000,0.32,0.17,0.51
22,M,namuh,Under Middle,1900000,0.14,0.57,0.29
23,M,Mpop,High School,300000,0.79,0.2,0.01
26,M,Toss,High School,9600000,0.95,0.02,0.03
23,M,M-able,Under Middle,2800000,0,0.37,0.63
26,M,M-able,Under Middle,8100000,0.63,0.16,0.21
25,F,M-able,University,4200000,0.4,0.23,0.37
27,F,Toss,University,7300000,0.13,0.56,0.31
20,F,Mpop,High School,3000000,0.54,0.16,0.3
28,M,M-able,University,3500000,0.97,0,0.03
24,F,M-able,University,300000,0.91,0.03,0.06
26,M,Mpop,High School,1900000,0.9,0.03,0.07
25,M,M-able,University,9700000,0.81,0.13,0.06
28,M,namuh,University,5200000,0.25,0.65,0.1
22,M,Mpop,High School,2100000,0.05,0.33,0.62
23,F,Toss,Under Middle,2500000,0.72,0.06,0.22
29,F,Toss,University,3100000,0.23,0.56,0.21
27,M,namuh,High School,7700000,0.26,0.34,0.4
25,M,Toss,University,3700000,0.34,0.03,0.63
23,F,namuh,University,1000000,0.71,0.2,0.09
24,F,Toss,University,3500000,0.48,0.14,0.38
25,M,Mpop,University,5000000,0.7,0.05,0.25
23,M,M-able,High School,1900000,0.16,0.31,0.53
23,F,Mpop,High School,3600000,0.47,0.15,0.38
27,F,M-able,High School,8700000,0.67,0.07,0.26
29,M,M-able,University,5500000,0.28,0.48,0.24
29,F,Toss,University,6100000,0.88,0.08,0.04
29,M,M-able,High School,6800000,0.64,0.05,0.31
27,M,Mpop,University,7400000,0.08,0.49,0.43
23,F,M-able,University,2700000,0.85,0.13,0.02
22,M,Toss,High School,2500000,0.48,0.21,0.31
23,F,Mpop,University,600000,0.42,0.4,0.18
29,F,Mpop,University,6000000,1,0,0
27,M,Toss,High School,7400000,0.25,0.3,0.45
27,M,namuh,University,3700000,0,0.62,0.38
25,F,Mpop,High School,8400000,0.91,0.04,0.05
21,M,Mpop,University,800000,0.92,0.06,0.02
22,F,Toss,High School,3000000,0.72,0.15,0.13
22,F,Toss,University,3700000,0.49,0.37,0.14
28,F,Mpop,University,3400000,0.56,0.11,0.33
21,F,M-able,University,3800000,0.57,0.36,0.07
25,M,Mpop,University,2000000,0.44,0.03,0.53
28,M,Mpop,University,1900000,0.09,0.06,0.85
24,M,Mpop,University,2400000,0.2,0.5,0.3
20,F,M-able,University,2500000,0.24,0.6,0.16
22,F,Mpop,University,600000,0.52,0.31,0.17
25,M,M-able,University,4500000,0.89,0.01,0.1
25,F,namuh,University,9300000,0.5,0.17,0.33
20,M,Mpop,Under Middle,3100000,0.32,0.32,0.36
28,M,M-able,University,6700000,0.55,0.1,0.35
21,F,M-able,University,800000,0.38,0.6,0.02
21,M,M-able,University,3800000,0.07,0.47,0.46
20,F,M-able,University,3200000,0.52,0.06,0.42
23,M,Toss,High School,2500000,0.8,0.03,0.17
28,F,Toss,University,6900000,0.43,0.05,0.52
28,F,Toss,High School,6000000,0.76,0.04,0.2
24,M,M-able,Under Middle,1300000,0.51,0.34,0.15
24,M,M-able,University,2700000,0.4,0.53,0.07
20,M,namuh,University,2600000,0.48,0.48,0.04
29,F,namuh,University,6300000,0.02,0.63,0.35
23,M,M-able,University,100000,0.97,0,0.03
27,M,Mpop,High School,7500000,0.54,0.09,0.37
23,F,Mpop,University,1400000,0.44,0.16,0.4
22,M,Toss,University,3200000,0.3,0.17,0.53
21,F,M-able,University,3800000,0.91,0.05,0.04
21,F,M-able,High School,600000,0.58,0.18,0.24
22,F,Mpop,University,2300000,0.19,0.18,0.63
21,M,Toss,University,1100000,0.29,0.5,0.21
24,F,M-able,High School,200000,0.41,0.37,0.22
22,M,M-able,University,2300000,0.02,0.42,0.56
25,M,Mpop,High School,7100000,0.45,0.17,0.38
25,M,M-able,University,8800000,0.45,0.06,0.49
25,M,M-able,University,2400000,0.74,0.25,0.01
22,M,Toss,University,3000000,0.73,0.25,0.02
25,F,Toss,University,9500000,0.32,0.28,0.4
27,M,M-able,University,5200000,0.84,0.09,0.07
27,M,M-able,University,9900000,0.07,0.5,0.43
26,M,Toss,University,1900000,0.98,0.01,0.01
21,M,Mpop,High School,1900000,0.5,0.37,0.13
26,F,Toss,University,4600000,0.52,0.37,0.11
27,M,Toss,University,4800000,0.56,0.33,0.11
22,M,Toss,High School,2300000,0.62,0.22,0.16
23,M,namuh,High School,2500000,0.72,0.14,0.14
21,F,Toss,University,800000,0.93,0.01,0.06
29,M,Mpop,University,2400000,0.68,0.13,0.19
25,M,M-able,University,5700000,0.86,0.12,0.02
29,F,Toss,University,1700000,0.83,0.15,0.02
29,M,M-able,High School,7900000,0.41,0.32,0.27
22,M,M-able,University,1100000,0.05,0.36,0.59
20,M,Mpop,High School,3600000,0.46,0.2,0.34
29,F,M-able,University,8700000,0.06,0.05,0.89
21,M,Mpop,University,3200000,0.17,0.33,0.5
29,M,Toss,University,2600000,0.29,0.11,0.6
20,M,M-able,University,300000,0.7,0.25,0.05
26,M,M-able,University,4800000,0.79,0.15,0.06
20,M,Mpop,University,600000,0.49,0.14,0.37
24,M,Toss,High School,300000,0.94,0.04,0.02
28,F,M-able,High School,6200000,0.46,0.1,0.44
24,M,M-able,University,3500000,0.29,0.03,0.68
23,M,Mpop,University,2700000,0.27,0.58,0.15
23,M,namuh,University,900000,0.09,0.7,0.21
28,F,Toss,High School,9600000,0.07,0.67,0.26
28,F,M-able,University,6600000,0.93,0.01,0.06
27,F,Toss,University,2000000,0.05,0.42,0.53
20,F,Mpop,High School,1200000,0.8,0.11,0.09
23,F,Mpop,High School,1900000,0.49,0.46,0.05
28,F,Mpop,University,9600000,0.15,0.55,0.3
27,F,Mpop,High School,8200000,0.57,0.03,0.4
27,M,Toss,High School,6000000,0.78,0.15,0.07
21,F,Toss,Under Middle,100000,0.18,0.5,0.32
28,M,namuh,University,7200000,0.87,0.09,0.04
24,M,Toss,University,2200000,0.66,0.1,0.24
27,F,Toss,High School,3900000,0.73,0.03,0.24
20,F,namuh,University,3100000,0.16,0.69,0.15
24,M,Toss,University,200000,0.33,0.57,0.1
29,M,Toss,Under Middle,2700000,0.76,0.23,0.01
20,F,namuh,University,2500000,0.99,0.01,0
26,M,Toss,University,3400000,0.36,0.58,0.06
24,F,Mpop,High School,2000000,0.13,0.44,0.43
22,M,Toss,University,1900000,0.92,0.05,0.03
24,F,Mpop,University,1000000,0.32,0.26,0.42
26,M,namuh,High School,4000000,0.86,0.12,0.02
23,M,Mpop,University,1800000,0.36,0.3,0.34
23,F,M-able,University,700000,0.04,0.17,0.79
27,M,Toss,University,1800000,0.89,0.01,0.1
28,F,Mpop,High School,4300000,0.59,0.23,0.18
25,M,Mpop,High School,2100000,0.63,0.36,0.01
20,M,Mpop,University,100000,0.58,0.1,0.32
28,M,Mpop,University,4000000,0.83,0.14,0.03
25,M,M-able,High School,3600000,0.26,0.46,0.28
24,F,Mpop,University,2300000,0.96,0.01,0.03
27,M,Mpop,University,6000000,0.08,0.53,0.39
24,M,namuh,High School,3000000,0.18,0.64,0.18
21,F,namuh,University,2100000,0.83,0.14,0.03
23,M,namuh,High School,3200000,0.62,0.26,0.12
23,F,Mpop,Under Middle,2800000,0.78,0.04,0.18
29,F,namuh,High School,7500000,0.99,0.01,0
22,M,Toss,University,3300000,0.81,0.02,0.17
25,M,Mpop,High School,6800000,0.15,0.1,0.75
22,M,M-able,High School,2400000,0.95,0.01,0.04
23,M,Toss,University,1200000,0.05,0.55,0.4
25,M,Toss,University,9800000,0.26,0.57,0.17
27,M,Mpop,University,3100000,0.85,0.01,0.14
22,F,M-able,High School,1000000,0.9,0.04,0.06
27,F,M-able,University,2500000,0.82,0.12,0.06
21,M,M-able,University,1000000,0.17,0.44,0.39
26,F,Toss,University,8100000,0.18,0.5,0.32
25,M,Mpop,University,9300000,0.45,0.43,0.12
20,M,namuh,University,700000,0.02,0.07,0.91
20,F,M-able,High School,2700000,0.81,0.11,0.08
23,M,M-able,University,1900000,0.18,0.01,0.81
21,M,Mpop,University,2300000,0.24,0.34,0.42
29,F,Mpop,University,2100000,0.68,0.24,0.08
29,F,Toss,University,9700000,0.75,0.13,0.12
26,F,Toss,High School,7800000,0.9,0.04,0.06
26,M,namuh,University,6400000,0.16,0.47,0.37
27,M,Toss,University,2500000,0.87,0.05,0.08
28,F,namuh,University,4800000,0.52,0.36,0.12
28,M,Toss,University,4000000,0.3,0.23,0.47
27,M,Mpop,High School,2300000,0.01,0.36,0.63
20,F,namuh,University,700000,0.84,0.02,0.14
28,M,Toss,Under Middle,9200000,0.41,0.37,0.22
26,M,Toss,University,6500000,0.9,0.06,0.04
28,F,M-able,High School,7200000,0.48,0.42,0.1
29,M,Mpop,University,7700000,0.87,0.11,0.02
28,F,Mpop,University,8100000,0.54,0.26,0.2
23,M,M-able,University,1400000,0.17,0.05,0.78
26,M,Mpop,High School,4800000,0.93,0.02,0.05
21,F,Mpop,University,3700000,0.05,0.1,0.85
27,M,namuh,University,7100000,0.57,0.04,0.39
24,F,Toss,University,3100000,0.85,0.09,0.06
29,M,M-able,University,1800000,0.52,0.34,0.14
22,M,M-able,High School,700000,0.51,0.39,0.1
20,F,Toss,University,1600000,0.84,0.14,0.02
28,M,M-able,University,7500000,0.55,0.38,0.07
22,F,M-able,Under Middle,2000000,0.01,0.06,0.93
27,F,Toss,University,7600000,0.88,0.1,0.02
28,M,Mpop,University,5400000,0.72,0.21,0.07
24,M,M-able,University,3500000,0.93,0.04,0.03
24,F,Mpop,University,100000,0.36,0.56,0.08
21,M,namuh,University,300000,0.92,0.06,0.02
27,F,Toss,High School,6500000,0.86,0.07,0.07
26,F,Mpop,University,6400000,0.82,0.17,0.01
29,M,namuh,High School,8500000,0.55,0.15,0.3
24,M,Mpop,University,1300000,0.18,0.54,0.28
21,F,Mpop,University,2200000,0,0.19,0.81
25,M,Toss,University,9500000,0.99,0,0.01
29,F,Mpop,University,5800000,0.12,0.32,0.56
27,M,M-able,University,6000000,0.09,0.5,0.41
21,F,M-able,University,800000,0.41,0.14,0.45
23,M,Toss,High School,1900000,0.25,0.48,0.27
25,M,M-able,University,8600000,0.65,0.19,0.16
27,F,Toss,University,5600000,0.6,0.02,0.38
23,M,Mpop,University,2200000,0.62,0.05,0.33
26,M,M-able,High School,3500000,0.56,0.22,0.22
26,F,M-able,University,5200000,0.11,0.1,0.79
27,F,Toss,University,6200000,0.86,0.12,0.02
29,M,Toss,University,5800000,0.34,0.38,0.28
21,F,Toss,University,1100000,0.39,0.11,0.5
29,F,M-able,University,2500000,0.13,0.03,0.84
26,M,namuh,University,3500000,0.32,0.24,0.44
20,M,M-able,University,700000,0.75,0.01,0.24
23,F,Mpop,University,600000,0.67,0.09,0.24
28,F,M-able,University,7200000,0.06,0.08,0.86
24,M,Toss,University,400000,0.81,0.14,0.05
21,F,Toss,Under Middle,3700000,0.25,0.22,0.53
24,M,M-able,University,800000,0.6,0.01,0.39
25,M,Mpop,High School,3500000,0.09,0.52,0.39
20,M,Toss,High School,3800000,0.72,0.14,0.14
23,F,M-able,University,3300000,0.27,0.05,0.68
21,F,M-able,University,1100000,0.64,0.35,0.01
24,M,Mpop,University,2000000,0.35,0.12,0.53
24,F,M-able,High School,3200000,0.92,0.06,0.02
24,F,M-able,University,2700000,0.05,0.03,0.92
20,M,Toss,High School,2400000,0.75,0.19,0.06
20,F,Toss,University,3900000,0.03,0.32,0.65
28,F,M-able,University,7300000,0.74,0.14,0.12
24,M,M-able,Under Middle,900000,0.87,0.01,0.12
26,M,Toss,University,8600000,0.7,0.23,0.07
29,F,Mpop,High School,3800000,0.24,0.57,0.19
23,F,Toss,Under Middle,1200000,0.06,0.65,0.29
23,M,M-able,High School,3100000,0.93,0.05,0.02
22,M,Mpop,University,3100000,0.81,0.12,0.07
21,M,Toss,University,1700000,0.39,0.46,0.15
22,F,M-able,High School,700000,0.56,0.44,0
21,F,Mpop,University,300000,0.83,0.06,0.11
23,M,Toss,University,3600000,0.4,0.53,0.07
24,M,Toss,University,2300000,0.83,0.01,0.16
21,M,Toss,University,2200000,0.93,0.03,0.04
21,M,Mpop,University,2000000,0.44,0.29,0.27
20,F,Toss,High School,2900000,0.96,0.02,0.02
27,F,Mpop,University,8200000,0.19,0.27,0.54
28,M,Mpop,University,6600000,0.08,0.42,0.5
24,M,Toss,University,3400000,0.68,0.01,0.31
23,F,M-able,High School,1500000,0.72,0.08,0.2
25,F,Mpop,University,7900000,0.55,0.19,0.26
26,F,M-able,University,5600000,0.69,0.02,0.29
23,M,Mpop,University,1600000,0.6,0.12,0.28
22,F,namuh,High School,1900000,0.6,0.08,0.32
29,M,Mpop,High School,5900000,0.98,0,0.02
28,F,namuh,High School,3800000,0.11,0.39,0.5
21,F,Toss,High School,400000,0.07,0.24,0.69
24,M,M-able,University,3100000,0.34,0.18,0.48
20,M,Toss,High School,3700000,0.49,0.34,0.17
28,M,M-able,High School,2100000,0.05,0.13,0.82
23,M,M-able,University,2400000,0.74,0.01,0.25
29,F,Mpop,University,5000000,0.58,0.31,0.11
25,F,namuh,University,6900000,0.2,0.22,0.58
25,M,Mpop,University,2800000,0.48,0.49,0.03
21,M,namuh,University,2100000,0.88,0.07,0.05
27,F,Toss,High School,6600000,0.2,0.65,0.15
28,F,Mpop,High School,9400000,0.89,0.01,0.1
26,F,Mpop,University,9800000,0.04,0.35,0.61
24,M,Mpop,University,2600000,0.65,0.07,0.28
27,F,Mpop,University,6200000,0.03,0.5,0.47
23,M,Toss,University,1000000,0.75,0.15,0.1
25,M,Toss,University,3700000,0.74,0.18,0.08
23,F,Toss,University,600000,0.3,0.13,0.57
26,M,namuh,High School,3400000,0.72,0.11,0.17
24,M,M-able,High School,3000000,0.46,0.17,0.37
27,M,M-able,Under Middle,8600000,0.84,0.08,0.08
23,M,Mpop,High School,400000,0.93,0,0.07
20,F,Toss,University,1000000,0.23,0.13,0.64
25,F,Mpop,University,3400000,0.21,0.12,0.67
29,M,Mpop,University,3400000,0.9,0.01,0.09
23,F,Mpop,High School,3800000,0.74,0.06,0.2
27,M,Mpop,University,5500000,1,0,0
25,F,Mpop,University,8500000,0.21,0.23,0.56
25,F,M-able,University,9600000,0.71,0.18,0.11
28,M,M-able,University,9900000,0.91,0.02,0.07
20,M,Toss,University,2600000,0.39,0.26,0.35
28,F,M-able,University,2300000,0.55,0.07,0.38
23,F,M-able,University,1900000,0.57,0.06,0.37
26,M,namuh,University,4500000,0.99,0.01,0
29,F,namuh,University,6800000,0.96,0.03,0.01
23,F,M-able,University,1000000,0.14,0.6,0.26
22,M,Mpop,High School,3600000,0.12,0.01,0.87
27,M,Toss,University,8400000,0.86,0.06,0.08
20,M,Mpop,University,1000000,0.49,0.35,0.16
23,F,M-able,University,3500000,0.89,0.08,0.03
20,F,namuh,University,3600000,0.26,0.53,0.21
23,F,Mpop,University,2300000,0.53,0.21,0.26
26,M,Toss,University,4300000,0.04,0.49,0.47
21,M,M-able,High School,3600000,0.09,0.67,0.24
29,M,namuh,University,8000000,0.7,0.11,0.19
22,F,M-able,University,400000,0.55,0.24,0.21
29,M,Mpop,High School,2700000,0.1,0.21,0.69
24,M,Mpop,University,2200000,0.82,0.08,0.1
29,F,Mpop,University,5600000,0.67,0.06,0.27
21,F,Toss,Under Middle,2200000,0.78,0.16,0.06
23,F,Toss,University,200000,0.55,0.32,0.13
22,F,Mpop,University,3700000,0.74,0.15,0.11
24,M,M-able,University,3500000,0.08,0.64,0.28
29,F,namuh,University,3600000,0.81,0.09,0.1
27,F,namuh,University,7400000,0.3,0.27,0.43
24,F,M-able,University,3900000,0.92,0.05,0.03
29,F,M-able,Under Middle,9300000,0.25,0.42,0.33
24,M,M-able,University,3400000,0.74,0.08,0.18
21,F,Toss,University,1900000,0.94,0.06,0
22,F,namuh,University,3500000,0.15,0.53,0.32
27,M,M-able,Under Middle,4700000,0.49,0.42,0.09
22,F,M-able,University,1500000,0.49,0.49,0.02
23,F,M-able,University,700000,0.28,0.62,0.1
29,M,M-able,University,6800000,0.47,0.46,0.07
27,F,M-able,High School,5000000,0.56,0.39,0.05
26,F,M-able,Under Middle,4200000,0.65,0.29,0.06
26,F,Mpop,High School,5500000,0.74,0.2,0.06
22,F,Mpop,University,2000000,0.61,0.02,0.37
23,M,Mpop,University,2200000,0.12,0.35,0.53
26,M,namuh,University,5700000,0.48,0.35,0.17
20,F,Toss,University,3500000,0.89,0.07,0.04
28,F,Toss,University,4000000,0.78,0.18,0.04
20,M,Toss,University,2700000,0.39,0.03,0.58
27,F,M-able,University,4400000,0.43,0.21,0.36
26,M,M-able,High School,7000000,0.75,0.01,0.24
25,F,Mpop,Under Middle,2400000,0.43,0.24,0.33
29,M,namuh,Under Middle,8300000,0.56,0.28,0.16
26,F,namuh,University,3200000,0.58,0.18,0.24
25,F,Mpop,High School,3800000,0.78,0.19,0.03
22,M,M-able,University,3700000,0.01,0.67,0.32
27,F,M-able,University,7700000,0.06,0.7,0.24
21,F,Toss,University,2100000,0.52,0.35,0.13
29,M,namuh,High School,3500000,0.78,0.12,0.1
22,F,M-able,Under Middle,2100000,0.8,0.15,0.05
22,F,namuh,University,3200000,0.97,0.02,0.01
25,M,M-able,University,8200000,0.66,0.13,0.21
26,F,Toss,High School,6000000,0.9,0.06,0.04
24,F,namuh,High School,800000,0.04,0.26,0.7
22,M,Toss,University,1400000,0.85,0.08,0.07
22,M,M-able,High School,900000,0.59,0.17,0.24
21,M,M-able,University,1000000,0.81,0.16,0.03
20,F,namuh,High School,200000,0.93,0.02,0.05
29,M,namuh,University,7800000,0.47,0.27,0.26
20,M,Toss,University,300000,0.12,0.05,0.83
22,M,Toss,University,1400000,0.63,0.19,0.18
28,M,Toss,University,6100000,0.45,0.5,0.05
23,F,Mpop,High School,1200000,0.97,0.02,0.01
20,M,M-able,University,2700000,0.22,0.27,0.51
28,F,M-able,University,5300000,0.16,0.6,0.24
